item_id,item_index,complexity_condition,source_label,target_cell,prime_cell,prime_active,prime_passive,target_active_simple,target_passive_simple,target_active_complex,target_passive_complex,agent_modifier_noun,patient_modifier_noun,agent_modifier_prep,patient_modifier_prep,prime_active_det_family,target_active_det_family,prime_passive_aux,target_passive_aux,prime_active_verb_or_fragment,target_active_verb_or_fragment,target_agent,target_patient
exp4_jabberwocky_0091_patient_complex,91,patient_complex,jabberwocky,indef_present,def_past,the fol ed the ful .,the ful was ed by the fol .,a gir s a lav .,a lav is ed by a gir .,a gir s a lav above a fil .,a lav above a fil is ed by a gir .,,fil,,above,def,indef,was,is,ed,s,gir,lav
exp4_jabberwocky_0091_both_complex,91,both_complex,jabberwocky,indef_present,def_past,the fol ed the ful .,the ful was ed by the fol .,a gir s a lav .,a lav is ed by a gir .,a gir with a pel s a lav from a pil .,a lav from a pil is ed by a gir with a pel .,pel,pil,with,from,def,indef,was,is,ed,s,gir,lav
exp4_jabberwocky_0092_agent_complex,92,agent_complex,jabberwocky,def_past,indef_present,a ful s a gir .,a gir is ed by a ful .,the lav ed the lil .,the lil was ed by the lav .,the lav above the mur ed the lil .,the lil was ed by the lav above the mur .,mur,,above,,indef,def,is,was,s,ed,lav,lil
exp4_jabberwocky_0092_patient_complex,92,patient_complex,jabberwocky,def_past,indef_present,a ful s a gir .,a gir is ed by a ful .,the lav ed the lil .,the lil was ed by the lav .,the lav ed the lil with the mul .,the lil with the mul was ed by the lav .,,mul,,with,indef,def,is,was,s,ed,lav,lil
exp4_jabberwocky_0092_both_complex,92,both_complex,jabberwocky,def_past,indef_present,a ful s a gir .,a gir is ed by a ful .,the lav ed the lil .,the lil was ed by the lav .,the lav from the sor ed the lil with the sul .,the lil with the sul was ed by the lav from the sor .,sor,sul,from,with,indef,def,is,was,s,ed,lav,lil
exp4_jabberwocky_0093_agent_complex,93,agent_complex,jabberwocky,def_present,indef_past,a gir ed a lav .,a lav was ed by a gir .,the lil s the mol .,the mol is ed by the lil .,the lil with the fol s the mol .,the mol is ed by the lil with the fol .,fol,,with,,indef,def,was,is,ed,s,lil,mol
exp4_jabberwocky_0093_patient_complex,93,patient_complex,jabberwocky,def_present,indef_past,a gir ed a lav .,a lav was ed by a gir .,the lil s the mol .,the mol is ed by the lil .,the lil s the mol from the pil .,the mol from the pil is ed by the lil .,,pil,,from,indef,def,was,is,ed,s,lil,mol
exp4_jabberwocky_0093_both_complex,93,both_complex,jabberwocky,def_present,indef_past,a gir ed a lav .,a lav was ed by a gir .,the lil s the mol .,the mol is ed by the lil .,the lil in the vir s the mol on the vom .,the mol on the vom is ed by the lil in the vir .,vir,vom,in,on,indef,def,was,is,ed,s,lil,mol
exp4_jabberwocky_0094_agent_complex,94,agent_complex,jabberwocky,indef_past,def_present,the lav s the lil .,the lil is ed by the lav .,a mol ed a mul .,a mul was ed by a mol .,a mol from a nav ed a mul .,a mul was ed by a mol from a nav .,nav,,from,,def,indef,is,was,s,ed,mol,mul
exp4_jabberwocky_0094_patient_complex,94,patient_complex,jabberwocky,indef_past,def_present,the lav s the lil .,the lil is ed by the lav .,a mol ed a mul .,a mul was ed by a mol .,a mol ed a mul in a sul .,a mul in a sul was ed by a mol .,,sul,,in,def,indef,is,was,s,ed,mol,mul
exp4_jabberwocky_0094_both_complex,94,both_complex,jabberwocky,indef_past,def_present,the lav s the lil .,the lil is ed by the lav .,a mol ed a mul .,a mul was ed by a mol .,a mol on a mur ed a mul in a dir .,a mul in a dir was ed by a mol on a mur .,mur,dir,on,in,def,indef,is,was,s,ed,mol,mul
exp4_jabberwocky_0095_agent_complex,95,agent_complex,jabberwocky,indef_present,def_past,the lil ed the mol .,the mol was ed by the lil .,a mul s a nav .,a nav is ed by a mul .,a mul in a por s a nav .,a nav is ed by a mul in a por .,por,,in,,def,indef,was,is,ed,s,mul,nav
exp4_jabberwocky_0095_patient_complex,95,patient_complex,jabberwocky,indef_present,def_past,the lil ed the mol .,the mol was ed by the lil .,a mul s a nav .,a nav is ed by a mul .,a mul s a nav on a vom .,a nav on a vom is ed by a mul .,,vom,,on,def,indef,was,is,ed,s,mul,nav
exp4_jabberwocky_0095_both_complex,95,both_complex,jabberwocky,indef_present,def_past,the lil ed the mol .,the mol was ed by the lil .,a mul s a nav .,a nav is ed by a mul .,a mul below a fol s a nav near a ful .,a nav near a ful is ed by a mul below a fol .,fol,ful,below,near,def,indef,was,is,ed,s,mul,nav
exp4_jabberwocky_0096_agent_complex,96,agent_complex,jabberwocky,def_past,indef_present,a mol s a mul .,a mul is ed by a mol .,the nav ed the nin .,the nin was ed by the nav .,the nav on the tel ed the nin .,the nin was ed by the nav on the tel .,tel,,on,,indef,def,is,was,s,ed,nav,nin
exp4_jabberwocky_0096_patient_complex,96,patient_complex,jabberwocky,def_past,indef_present,a mol s a mul .,a mul is ed by a mol .,the nav ed the nin .,the nin was ed by the nav .,the nav ed the nin below the dir .,the nin below the dir was ed by the nav .,,dir,,below,indef,def,is,was,s,ed,nav,nin
exp4_jabberwocky_0096_both_complex,96,both_complex,jabberwocky,def_past,indef_present,a mol s a mul .,a mul is ed by a mol .,the nav ed the nin .,the nin was ed by the nav .,the nav near the nom ed the nin above the nud .,the nin above the nud was ed by the nav near the nom .,nom,nud,near,above,indef,def,is,was,s,ed,nav,nin
exp4_jabberwocky_0097_agent_complex,97,agent_complex,jabberwocky,def_present,indef_past,a mul ed a nav .,a nav was ed by a mul .,the nin s the nom .,the nom is ed by the nin .,the nin below the vul s the nom .,the nom is ed by the nin below the vul .,vul,,below,,indef,def,was,is,ed,s,nin,nom
exp4_jabberwocky_0097_patient_complex,97,patient_complex,jabberwocky,def_present,indef_past,a mul ed a nav .,a nav was ed by a mul .,the nin s the nom .,the nom is ed by the nin .,the nin s the nom near the ful .,the nom near the ful is ed by the nin .,,ful,,near,indef,def,was,is,ed,s,nin,nom
exp4_jabberwocky_0097_both_complex,97,both_complex,jabberwocky,def_present,indef_past,a mul ed a nav .,a nav was ed by a mul .,the nin s the nom .,the nom is ed by the nin .,the nin above the por s the nom near the rav .,the nom near the rav is ed by the nin above the por .,por,rav,above,near,indef,def,was,is,ed,s,nin,nom
exp4_jabberwocky_0098_agent_complex,98,agent_complex,jabberwocky,indef_past,def_present,the nav s the nin .,the nin is ed by the nav .,a nom ed a nud .,a nud was ed by a nom .,a nom near a dur ed a nud .,a nud was ed by a nom near a dur .,dur,,near,,def,indef,is,was,s,ed,nom,nud
exp4_jabberwocky_0098_patient_complex,98,patient_complex,jabberwocky,indef_past,def_present,the nav s the nin .,the nin is ed by the nav .,a nom ed a nud .,a nud was ed by a nom .,a nom ed a nud above a pav .,a nud above a pav was ed by a nom .,,pav,,above,def,indef,is,was,s,ed,nom,nud
exp4_jabberwocky_0098_both_complex,98,both_complex,jabberwocky,indef_past,def_present,the nav s the nin .,the nin is ed by the nav .,a nom ed a nud .,a nud was ed by a nom .,a nom with a tel ed a nud from a tir .,a nud from a tir was ed by a nom with a tel .,tel,tir,with,from,def,indef,is,was,s,ed,nom,nud
exp4_jabberwocky_0099_agent_complex,99,agent_complex,jabberwocky,indef_present,def_past,the nin ed the nom .,the nom was ed by the nin .,a nud s a pav .,a pav is ed by a nud .,a nud above a gir s a pav .,a pav is ed by a nud above a gir .,gir,,above,,def,indef,was,is,ed,s,nud,pav
exp4_jabberwocky_0099_patient_complex,99,patient_complex,jabberwocky,indef_present,def_past,the nin ed the nom .,the nom was ed by the nin .,a nud s a pav .,a pav is ed by a nud .,a nud s a pav with a rav .,a pav with a rav is ed by a nud .,,rav,,with,def,indef,was,is,ed,s,nud,pav
exp4_jabberwocky_0099_both_complex,99,both_complex,jabberwocky,indef_present,def_past,the nin ed the nom .,the nom was ed by the nin .,a nud s a pav .,a pav is ed by a nud .,a nud from a vul s a pav with a bri .,a pav with a bri is ed by a nud from a vul .,vul,bri,from,with,def,indef,was,is,ed,s,nud,pav
exp4_jabberwocky_0100_agent_complex,100,agent_complex,jabberwocky,def_past,indef_present,a nom s a nud .,a nud is ed by a nom .,the pav ed the pel .,the pel was ed by the pav .,the pav with the pil ed the pel .,the pel was ed by the pav with the pil .,pil,,with,,indef,def,is,was,s,ed,pav,pel
exp4_jabberwocky_0100_patient_complex,100,patient_complex,jabberwocky,def_past,indef_present,a nom s a nud .,a nud is ed by a nom .,the pav ed the pel .,the pel was ed by the pav .,the pav ed the pel from the tir .,the pel from the tir was ed by the pav .,,tir,,from,indef,def,is,was,s,ed,pav,pel
exp4_jabberwocky_0100_both_complex,100,both_complex,jabberwocky,def_past,indef_present,a nom s a nud .,a nud is ed by a nom .,the pav ed the pel .,the pel was ed by the pav .,the pav in the dur ed the pel on the fab .,the pel on the fab was ed by the pav in the dur .,dur,fab,in,on,indef,def,is,was,s,ed,pav,pel
exp4_jabberwocky_0101_agent_complex,101,agent_complex,jabberwocky,def_present,indef_past,a nud ed a pav .,a pav was ed by a nud .,the pel s the pil .,the pil is ed by the pel .,the pel from the rom s the pil .,the pil is ed by the pel from the rom .,rom,,from,,indef,def,was,is,ed,s,pel,pil
exp4_jabberwocky_0101_patient_complex,101,patient_complex,jabberwocky,def_present,indef_past,a nud ed a pav .,a pav was ed by a nud .,the pel s the pil .,the pil is ed by the pel .,the pel s the pil in the bri .,the pil in the bri is ed by the pel .,,bri,,in,indef,def,was,is,ed,s,pel,pil
exp4_jabberwocky_0101_both_complex,101,both_complex,jabberwocky,def_present,indef_past,a nud ed a pav .,a pav was ed by a nud .,the pel s the pil .,the pil is ed by the pel .,the pel on the gir s the pil in the lav .,the pil in the lav is ed by the pel on the gir .,gir,lav,on,in,indef,def,was,is,ed,s,pel,pil
exp4_jabberwocky_0102_agent_complex,102,agent_complex,jabberwocky,indef_past,def_present,the pav s the pel .,the pel is ed by the pav .,a pil ed a por .,a por was ed by a pil .,a pil in a tul ed a por .,a por was ed by a pil in a tul .,tul,,in,,def,indef,is,was,s,ed,pil,por
exp4_jabberwocky_0102_patient_complex,102,patient_complex,jabberwocky,indef_past,def_present,the pav s the pel .,the pel is ed by the pav .,a pil ed a por .,a por was ed by a pil .,a pil ed a por on a fab .,a por on a fab was ed by a pil .,,fab,,on,def,indef,is,was,s,ed,pil,por
exp4_jabberwocky_0102_both_complex,102,both_complex,jabberwocky,indef_past,def_present,the pav s the pel .,the pel is ed by the pav .,a pil ed a por .,a por was ed by a pil .,a pil below a nom ed a por near a nud .,a por near a nud was ed by a pil below a nom .,nom,nud,below,near,def,indef,is,was,s,ed,pil,por
exp4_jabberwocky_0103_agent_complex,103,agent_complex,jabberwocky,indef_present,def_past,the pel ed the pil .,the pil was ed by the pel .,a por s a rav .,a rav is ed by a por .,a por on a dil s a rav .,a rav is ed by a por on a dil .,dil,,on,,def,indef,was,is,ed,s,por,rav
exp4_jabberwocky_0103_patient_complex,103,patient_complex,jabberwocky,indef_present,def_past,the pel ed the pil .,the pil was ed by the pel .,a por s a rav .,a rav is ed by a por .,a por s a rav below a lav .,a rav below a lav is ed by a por .,,lav,,below,def,indef,was,is,ed,s,por,rav
exp4_jabberwocky_0103_both_complex,103,both_complex,jabberwocky,indef_present,def_past,the pel ed the pil .,the pil was ed by the pel .,a por s a rav .,a rav is ed by a por .,a por near a rom s a rav below a sav .,a rav below a sav is ed by a por near a rom .,rom,sav,near,below,def,indef,was,is,ed,s,por,rav
exp4_jabberwocky_0104_agent_complex,104,agent_complex,jabberwocky,def_past,indef_present,a pil s a por .,a por is ed by a pil .,the rav ed the rom .,the rom was ed by the rav .,the rav below the fav ed the rom .,the rom was ed by the rav below the fav .,fav,,below,,indef,def,is,was,s,ed,rav,rom
exp4_jabberwocky_0104_patient_complex,104,patient_complex,jabberwocky,def_past,indef_present,a pil s a por .,a por is ed by a pil .,the rav ed the rom .,the rom was ed by the rav .,the rav ed the rom near the nud .,the rom near the nud was ed by the rav .,,nud,,near,indef,def,is,was,s,ed,rav,rom
exp4_jabberwocky_0104_both_complex,104,both_complex,jabberwocky,def_past,indef_present,a pil s a por .,a por is ed by a pil .,the rav ed the rom .,the rom was ed by the rav .,the rav above the tul ed the rom near the vel .,the rom near the vel was ed by the rav above the tul .,tul,vel,above,near,indef,def,is,was,s,ed,rav,rom
exp4_jabberwocky_0105_agent_complex,105,agent_complex,jabberwocky,def_present,indef_past,a por ed a rav .,a rav was ed by a por .,the rom s the sav .,the sav is ed by the rom .,the rom near the lil s the sav .,the sav is ed by the rom near the lil .,lil,,near,,indef,def,was,is,ed,s,rom,sav
exp4_jabberwocky_0105_patient_complex,105,patient_complex,jabberwocky,def_present,indef_past,a por ed a rav .,a rav was ed by a por .,the rom s the sav .,the sav is ed by the rom .,the rom s the sav above the som .,the sav above the som is ed by the rom .,,som,,above,indef,def,was,is,ed,s,rom,sav
exp4_jabberwocky_0105_both_complex,105,both_complex,jabberwocky,def_present,indef_past,a por ed a rav .,a rav was ed by a por .,the rom s the sav .,the sav is ed by the rom .,the rom with the dil s the sav from the dru .,the sav from the dru is ed by the rom with the dil .,dil,dru,with,from,indef,def,was,is,ed,s,rom,sav
exp4_jabberwocky_0106_agent_complex,106,agent_complex,jabberwocky,indef_past,def_present,the rav s the rom .,the rom is ed by the rav .,a sav ed a som .,a som was ed by a sav .,a sav above a pav ed a som .,a som was ed by a sav above a pav .,pav,,above,,def,indef,is,was,s,ed,sav,som
exp4_jabberwocky_0106_patient_complex,106,patient_complex,jabberwocky,indef_past,def_present,the rav s the rom .,the rom is ed by the rav .,a sav ed a som .,a som was ed by a sav .,a sav ed a som with a vel .,a som with a vel was ed by a sav .,,vel,,with,def,indef,is,was,s,ed,sav,som
exp4_jabberwocky_0106_both_complex,106,both_complex,jabberwocky,indef_past,def_present,the rav s the rom .,the rom is ed by the rav .,a sav ed a som .,a som was ed by a sav .,a sav from a fav ed a som with a fel .,a som with a fel was ed by a sav from a fav .,fav,fel,from,with,def,indef,is,was,s,ed,sav,som
exp4_jabberwocky_0107_agent_complex,107,agent_complex,jabberwocky,indef_present,def_past,the rom ed the sav .,the sav was ed by the rom .,a som s a sor .,a sor is ed by a som .,a som with a sul s a sor .,a sor is ed by a som with a sul .,sul,,with,,def,indef,was,is,ed,s,som,sor
exp4_jabberwocky_0107_patient_complex,107,patient_complex,jabberwocky,indef_present,def_past,the rom ed the sav .,the sav was ed by the rom .,a som s a sor .,a sor is ed by a som .,a som s a sor from a dru .,a sor from a dru is ed by a som .,,dru,,from,def,indef,was,is,ed,s,som,sor
exp4_jabberwocky_0107_both_complex,107,both_complex,jabberwocky,indef_present,def_past,the rom ed the sav .,the sav was ed by the rom .,a som s a sor .,a sor is ed by a som .,a som in a lil s a sor on a mol .,a sor on a mol is ed by a som in a lil .,lil,mol,in,on,def,indef,was,is,ed,s,som,sor
exp4_jabberwocky_0108_agent_complex,108,agent_complex,jabberwocky,def_past,indef_present,a sav s a som .,a som is ed by a sav .,the sor ed the sul .,the sul was ed by the sor .,the sor from the vil ed the sul .,the sul was ed by the sor from the vil .,vil,,from,,indef,def,is,was,s,ed,sor,sul
exp4_jabberwocky_0108_patient_complex,108,patient_complex,jabberwocky,def_past,indef_present,a sav s a som .,a som is ed by a sav .,the sor ed the sul .,the sul was ed by the sor .,the sor ed the sul in the fel .,the sul in the fel was ed by the sor .,,fel,,in,indef,def,is,was,s,ed,sor,sul
exp4_jabberwocky_0108_both_complex,108,both_complex,jabberwocky,def_past,indef_present,a sav s a som .,a som is ed by a sav .,the sor ed the sul .,the sul was ed by the sor .,the sor on the pav ed the sul in the pel .,the sul in the pel was ed by the sor on the pav .,pav,pel,on,in,indef,def,is,was,s,ed,sor,sul
exp4_jabberwocky_0109_agent_complex,109,agent_complex,jabberwocky,def_present,indef_past,a som ed a sor .,a sor was ed by a som .,the sul s the tel .,the tel is ed by the sul .,the sul in the gri s the tel .,the tel is ed by the sul in the gri .,gri,,in,,indef,def,was,is,ed,s,sul,tel
exp4_jabberwocky_0109_patient_complex,109,patient_complex,jabberwocky,def_present,indef_past,a som ed a sor .,a sor was ed by a som .,the sul s the tel .,the tel is ed by the sul .,the sul s the tel on the mol .,the tel on the mol is ed by the sul .,,mol,,on,indef,def,was,is,ed,s,sul,tel
exp4_jabberwocky_0109_both_complex,109,both_complex,jabberwocky,def_present,indef_past,a som ed a sor .,a sor was ed by a som .,the sul s the tel .,the tel is ed by the sul .,the sul below the tir s the tel near the tul .,the tel near the tul is ed by the sul below the tir .,tir,tul,below,near,indef,def,was,is,ed,s,sul,tel
exp4_jabberwocky_0110_agent_complex,110,agent_complex,jabberwocky,indef_past,def_present,the sor s the sul .,the sul is ed by the sor .,a tel ed a tir .,a tir was ed by a tel .,a tel on a fil ed a tir .,a tir was ed by a tel on a fil .,fil,,on,,def,indef,is,was,s,ed,tel,tir
exp4_jabberwocky_0110_patient_complex,110,patient_complex,jabberwocky,indef_past,def_present,the sor s the sul .,the sul is ed by the sor .,a tel ed a tir .,a tir was ed by a tel .,a tel ed a tir below a pel .,a tir below a pel was ed by a tel .,,pel,,below,def,indef,is,was,s,ed,tel,tir
exp4_jabberwocky_0110_both_complex,110,both_complex,jabberwocky,indef_past,def_present,the sor s the sul .,the sul is ed by the sor .,a tel ed a tir .,a tir was ed by a tel .,a tel near a vil ed a tir above a vir .,a tir above a vir was ed by a tel near a vil .,vil,vir,near,above,def,indef,is,was,s,ed,tel,tir
exp4_jabberwocky_0111_agent_complex,111,agent_complex,jabberwocky,indef_present,def_past,the sul ed the tel .,the tel was ed by the sul .,a tir s a tul .,a tul is ed by a tir .,a tir below a mul s a tul .,a tul is ed by a tir below a mul .,mul,,below,,def,indef,was,is,ed,s,tir,tul
exp4_jabberwocky_0111_patient_complex,111,patient_complex,jabberwocky,indef_present,def_past,the sul ed the tel .,the tel was ed by the sul .,a tir s a tul .,a tul is ed by a tir .,a tir s a tul near a sor .,a tul near a sor is ed by a tir .,,sor,,near,def,indef,was,is,ed,s,tir,tul
exp4_jabberwocky_0111_both_complex,111,both_complex,jabberwocky,indef_present,def_past,the sul ed the tel .,the tel was ed by the sul .,a tir s a tul .,a tul is ed by a tir .,a tir above a gri s a tul near a mur .,a tul near a mur is ed by a tir above a gri .,gri,mur,above,near,def,indef,was,is,ed,s,tir,tul
exp4_jabberwocky_0112_agent_complex,112,agent_complex,jabberwocky,def_past,indef_present,a tel s a tir .,a tir is ed by a tel .,the tul ed the vel .,the vel was ed by the tul .,the tul near the pil ed the vel .,the vel was ed by the tul near the pil .,pil,,near,,indef,def,is,was,s,ed,tul,vel
exp4_jabberwocky_0112_patient_complex,112,patient_complex,jabberwocky,def_past,indef_present,a tel s a tir .,a tir is ed by a tel .,the tul ed the vel .,the vel was ed by the tul .,the tul ed the vel above the vir .,the vel above the vir was ed by the tul .,,vir,,above,indef,def,is,was,s,ed,tul,vel
exp4_jabberwocky_0112_both_complex,112,both_complex,jabberwocky,def_past,indef_present,a tel s a tir .,a tir is ed by a tel .,the tul ed the vel .,the vel was ed by the tul .,the tul with the fil ed the vel from the fol .,the vel from the fol was ed by the tul with the fil .,fil,fol,with,from,indef,def,is,was,s,ed,tul,vel
exp4_jabberwocky_0113_agent_complex,113,agent_complex,jabberwocky,def_present,indef_past,a tir ed a tul .,a tul was ed by a tir .,the vel s the vil .,the vil is ed by the vel .,the vel above the sul s the vil .,the vil is ed by the vel above the sul .,sul,,above,,indef,def,was,is,ed,s,vel,vil
exp4_jabberwocky_0113_patient_complex,113,patient_complex,jabberwocky,def_present,indef_past,a tir ed a tul .,a tul was ed by a tir .,the vel s the vil .,the vil is ed by the vel .,the vel s the vil with the mur .,the vil with the mur is ed by the vel .,,mur,,with,indef,def,was,is,ed,s,vel,vil
exp4_jabberwocky_0113_both_complex,113,both_complex,jabberwocky,def_present,indef_past,a tir ed a tul .,a tul was ed by a tir .,the vel s the vil .,the vil is ed by the vel .,the vel from the mul s the vil with the nav .,the vil with the nav is ed by the vel from the mul .,mul,nav,from,with,indef,def,was,is,ed,s,vel,vil
exp4_jabberwocky_0114_agent_complex,114,agent_complex,jabberwocky,indef_past,def_present,the tul s the vel .,the vel is ed by the tul .,a vil ed a vir .,a vir was ed by a vil .,a vil with a vom ed a vir .,a vir was ed by a vil with a vom .,vom,,with,,def,indef,is,was,s,ed,vil,vir
exp4_jabberwocky_0114_patient_complex,114,patient_complex,jabberwocky,indef_past,def_present,the tul s the vel .,the vel is ed by the tul .,a vil ed a vir .,a vir was ed by a vil .,a vil ed a vir from a fol .,a vir from a fol was ed by a vil .,,fol,,from,def,indef,is,was,s,ed,vil,vir
exp4_jabberwocky_0114_both_complex,114,both_complex,jabberwocky,indef_past,def_present,the tul s the vel .,the vel is ed by the tul .,a vil ed a vir .,a vir was ed by a vil .,a vil in a pil ed a vir on a por .,a vir on a por was ed by a vil in a pil .,pil,por,in,on,def,indef,is,was,s,ed,vil,vir
exp4_jabberwocky_0115_agent_complex,115,agent_complex,jabberwocky,indef_present,def_past,the vel ed the vil .,the vil was ed by the vel .,a vir s a vom .,a vom is ed by a vir .,a vir from a dir s a vom .,a vom is ed by a vir from a dir .,dir,,from,,def,indef,was,is,ed,s,vir,vom
exp4_jabberwocky_0115_patient_complex,115,patient_complex,jabberwocky,indef_present,def_past,the vel ed the vil .,the vil was ed by the vel .,a vir s a vom .,a vom is ed by a vir .,a vir s a vom in a nav .,a vom in a nav is ed by a vir .,,nav,,in,def,indef,was,is,ed,s,vir,vom
exp4_jabberwocky_0115_both_complex,115,both_complex,jabberwocky,indef_present,def_past,the vel ed the vil .,the vil was ed by the vel .,a vir s a vom .,a vom is ed by a vir .,a vir on a sul s a vom in a tel .,a vom in a tel is ed by a vir on a sul .,sul,tel,on,in,def,indef,was,is,ed,s,vir,vom
exp4_jabberwocky_0116_agent_complex,116,agent_complex,jabberwocky,def_past,indef_present,a vil s a vir .,a vir is ed by a vil .,the vom ed the vul .,the vul was ed by the vom .,the vom in the ful ed the vul .,the vul was ed by the vom in the ful .,ful,,in,,indef,def,is,was,s,ed,vom,vul
exp4_jabberwocky_0116_patient_complex,116,patient_complex,jabberwocky,def_past,indef_present,a vil s a vir .,a vir is ed by a vil .,the vom ed the vul .,the vul was ed by the vom .,the vom ed the vul on the por .,the vul on the por was ed by the vom .,,por,,on,indef,def,is,was,s,ed,vom,vul
exp4_jabberwocky_0116_both_complex,116,both_complex,jabberwocky,def_past,indef_present,a vil s a vir .,a vir is ed by a vil .,the vom ed the vul .,the vul was ed by the vom .,the vom below the bri ed the vul near the dil .,the vul near the dil was ed by the vom below the bri .,bri,dil,below,near,indef,def,is,was,s,ed,vom,vul
exp4_jabberwocky_0117_agent_complex,117,agent_complex,jabberwocky,def_present,indef_past,a vir ed a vom .,a vom was ed by a vir .,the vul s the bri .,the bri is ed by the vul .,the vul on the nin s the bri .,the bri is ed by the vul on the nin .,nin,,on,,indef,def,was,is,ed,s,vul,bri
exp4_jabberwocky_0117_patient_complex,117,patient_complex,jabberwocky,def_present,indef_past,a vir ed a vom .,a vom was ed by a vir .,the vul s the bri .,the bri is ed by the vul .,the vul s the bri below the tel .,the bri below the tel is ed by the vul .,,tel,,below,indef,def,was,is,ed,s,vul,bri
exp4_jabberwocky_0117_both_complex,117,both_complex,jabberwocky,def_present,indef_past,a vir ed a vom .,a vom was ed by a vir .,the vul s the bri .,the bri is ed by the vul .,the vul near the dir s the bri below the dur .,the bri below the dur is ed by the vul near the dir .,dir,dur,near,below,indef,def,was,is,ed,s,vul,bri
exp4_jabberwocky_0118_agent_complex,118,agent_complex,jabberwocky,indef_past,def_present,the vom s the vul .,the vul is ed by the vom .,a bri ed a dil .,a dil was ed by a bri .,a bri below a rav ed a dil .,a dil was ed by a bri below a rav .,rav,,below,,def,indef,is,was,s,ed,bri,dil
exp4_jabberwocky_0118_patient_complex,118,patient_complex,jabberwocky,indef_past,def_present,the vom s the vul .,the vul is ed by the vom .,a bri ed a dil .,a dil was ed by a bri .,a bri ed a dil near a dru .,a dil near a dru was ed by a bri .,,dru,,near,def,indef,is,was,s,ed,bri,dil
exp4_jabberwocky_0118_both_complex,118,both_complex,jabberwocky,indef_past,def_present,the vom s the vul .,the vul is ed by the vom .,a bri ed a dil .,a dil was ed by a bri .,a bri above a ful ed a dil near a gir .,a dil near a gir was ed by a bri above a ful .,ful,gir,above,near,def,indef,is,was,s,ed,bri,dil
exp4_jabberwocky_0119_agent_complex,119,agent_complex,jabberwocky,indef_present,def_past,the vul ed the bri .,the bri was ed by the vul .,a dil s a dru .,a dru is ed by a dil .,a dil near a tir s a dru .,a dru is ed by a dil near a tir .,tir,,near,,def,indef,was,is,ed,s,dil,dru
exp4_jabberwocky_0119_patient_complex,119,patient_complex,jabberwocky,indef_present,def_past,the vul ed the bri .,the bri was ed by the vul .,a dil s a dru .,a dru is ed by a dil .,a dil s a dru above a dur .,a dru above a dur is ed by a dil .,,dur,,above,def,indef,was,is,ed,s,dil,dru
exp4_jabberwocky_0119_both_complex,119,both_complex,jabberwocky,indef_present,def_past,the vul ed the bri .,the bri was ed by the vul .,a dil s a dru .,a dru is ed by a dil .,a dil with a nin s a dru from a nom .,a dru from a nom is ed by a dil with a nin .,nin,nom,with,from,def,indef,was,is,ed,s,dil,dru
exp4_jabberwocky_0120_agent_complex,120,agent_complex,jabberwocky,def_past,indef_present,a bri s a dil .,a dil is ed by a bri .,the dru ed the gri .,the gri was ed by the dru .,the dru above the mur ed the gri .,the gri was ed by the dru above the mur .,mur,,above,,indef,def,is,was,s,ed,dru,gri
exp4_jabberwocky_0120_patient_complex,120,patient_complex,jabberwocky,def_past,indef_present,a bri s a dil .,a dil is ed by a bri .,the dru ed the gri .,the gri was ed by the dru .,the dru ed the gri with the gir .,the gri with the gir was ed by the dru .,,gir,,with,indef,def,is,was,s,ed,dru,gri
exp4_jabberwocky_0120_both_complex,120,both_complex,jabberwocky,def_past,indef_present,a bri s a dil .,a dil is ed by a bri .,the dru ed the gri .,the gri was ed by the dru .,the dru from the rav ed the gri with the rom .,the gri with the rom was ed by the dru from the rav .,rav,rom,from,with,indef,def,is,was,s,ed,dru,gri
exp4_jabberwocky_0121_agent_complex,121,agent_complex,jabberwocky,def_present,indef_past,a dil ed a dru .,a dru was ed by a dil .,the gri s the mur .,the mur is ed by the gri .,the gri with the fab s the mur .,the mur is ed by the gri with the fab .,fab,,with,,indef,def,was,is,ed,s,gri,mur
exp4_jabberwocky_0121_patient_complex,121,patient_complex,jabberwocky,def_present,indef_past,a dil ed a dru .,a dru was ed by a dil .,the gri s the mur .,the mur is ed by the gri .,the gri s the mur from the nom .,the mur from the nom is ed by the gri .,,nom,,from,indef,def,was,is,ed,s,gri,mur
exp4_jabberwocky_0121_both_complex,121,both_complex,jabberwocky,def_present,indef_past,a dil ed a dru .,a dru was ed by a dil .,the gri s the mur .,the mur is ed by the gri .,the gri in the tir s the mur on the tul .,the mur on the tul is ed by the gri in the tir .,tir,tul,in,on,indef,def,was,is,ed,s,gri,mur
exp4_jabberwocky_0122_agent_complex,122,agent_complex,jabberwocky,indef_past,def_present,the dru s the gri .,the gri is ed by the dru .,a mur ed a dir .,a dir was ed by a mur .,a mur from a lav ed a dir .,a dir was ed by a mur from a lav .,lav,,from,,def,indef,is,was,s,ed,mur,dir
exp4_jabberwocky_0122_patient_complex,122,patient_complex,jabberwocky,indef_past,def_present,the dru s the gri .,the gri is ed by the dru .,a mur ed a dir .,a dir was ed by a mur .,a mur ed a dir in a rom .,a dir in a rom was ed by a mur .,,rom,,in,def,indef,is,was,s,ed,mur,dir
