item_index,prime_active_sentence,prime_passive_sentence,target_active,target_passive,filler_sentence,event_style,role_style,quote_style,role_order,prompt_active,prompt_passive,prompt_no_prime,prompt_filler
510,the minister protects the mother .,the mother is protected by the minister .,a worker judged a writer .,a writer was judged by a worker .,The engine cooled before dawn .,involving_event,did_to,mary_answered,patient_first,"There was a protecting event involving the minister and the mother.
The one it happened to was the mother.
The one who did it was the minister.

Bridget asked, ""What happened?""
Mary answered, ""The minister protects the mother.""

There was a judging event involving a worker and a writer.
The one it happened to was a writer.
The one who did it was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a protecting event involving the minister and the mother.
The one it happened to was the mother.
The one who did it was the minister.

Bridget asked, ""What happened?""
Mary answered, ""The mother is protected by the minister.""

There was a judging event involving a worker and a writer.
The one it happened to was a writer.
The one who did it was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a judging event involving a worker and a writer.
The one it happened to was a writer.
The one who did it was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The engine cooled before dawn.""

There was a judging event involving a worker and a writer.
The one it happened to was a writer.
The one who did it was a worker.

Bridget asked, ""What happened?""
Mary answered, ""The"
511,the president chased the priest .,the priest was chased by the president .,a writer judges an actor .,an actor is judged by a writer .,The market opened after sunrise .,involving_event,did_to,mary_answered,patient_first,"There was a chasing event involving the president and the priest.
The one it happened to was the priest.
The one who did it was the president.

Bridget asked, ""What happened?""
Mary answered, ""The president chased the priest.""

There was a judging event involving a writer and an actor.
The one it happened to was an actor.
The one who did it was a writer.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a chasing event involving the president and the priest.
The one it happened to was the priest.
The one who did it was the president.

Bridget asked, ""What happened?""
Mary answered, ""The priest was chased by the president.""

There was a judging event involving a writer and an actor.
The one it happened to was an actor.
The one who did it was a writer.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a judging event involving a writer and an actor.
The one it happened to was an actor.
The one who did it was a writer.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The market opened after sunrise.""

There was a judging event involving a writer and an actor.
The one it happened to was an actor.
The one who did it was a writer.

Bridget asked, ""What happened?""
Mary answered, ""The"
512,a wife kisses a winner .,a winner is kissed by a wife .,the actor carried the actress .,the actress was carried by the actor .,The blanket dried on the line .,involving_event,did_to,mary_answered,agent_first,"There was a kissing event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""A wife kisses a winner.""

There was a carrying event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a kissing event involving a wife and a winner.
The one who did it was a wife.
The one it happened to was a winner.

Bridget asked, ""What happened?""
Mary answered, ""A winner is kissed by a wife.""

There was a carrying event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The blanket dried on the line.""

There was a carrying event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"
513,a man grabbed a manager .,a manager was grabbed by a man .,the actress carries the adult .,the adult is carried by the actress .,The planet shimmered above the valley .,involving_event,did_to,mary_answered,agent_first,"There was a grabbing event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""A man grabbed a manager.""

There was a carrying event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a grabbing event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""A manager was grabbed by a man.""

There was a carrying event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The planet shimmered above the valley.""

There was a carrying event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The"
514,the leader joins the man .,the man is joined by the leader .,an adult carried an attorney .,an attorney was carried by an adult .,The baker laughed during breakfast .,involving_event,did_to,mary_answered,agent_first,"There was a joining event involving the leader and the man.
The one who did it was the leader.
The one it happened to was the man.

Bridget asked, ""What happened?""
Mary answered, ""The leader joins the man.""

There was a carrying event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a joining event involving the leader and the man.
The one who did it was the leader.
The one it happened to was the man.

Bridget asked, ""What happened?""
Mary answered, ""The man is joined by the leader.""

There was a carrying event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The baker laughed during breakfast.""

There was a carrying event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"
515,the girl dragged the guest .,the guest was dragged by the girl .,an attorney carries an aunt .,an aunt is carried by an attorney .,The signal flickered across the screen .,involving_event,did_to,mary_answered,agent_first,"There was a dragging event involving the girl and the guest.
The one who did it was the girl.
The one it happened to was the guest.

Bridget asked, ""What happened?""
Mary answered, ""The girl dragged the guest.""

There was a carrying event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a dragging event involving the girl and the guest.
The one who did it was the girl.
The one it happened to was the guest.

Bridget asked, ""What happened?""
Mary answered, ""The guest was dragged by the girl.""

There was a carrying event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The signal flickered across the screen.""

There was a carrying event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"
516,a secretary beats a sheriff .,a sheriff is beaten by a secretary .,the aunt carried the author .,the author was carried by the aunt .,The tourist wandered through the plaza .,involving_event,did_to,mary_answered,patient_first,"There was a beating event involving a secretary and a sheriff.
The one it happened to was a sheriff.
The one who did it was a secretary.

Bridget asked, ""What happened?""
Mary answered, ""A secretary beats a sheriff.""

There was a carrying event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a beating event involving a secretary and a sheriff.
The one it happened to was a sheriff.
The one who did it was a secretary.

Bridget asked, ""What happened?""
Mary answered, ""A sheriff is beaten by a secretary.""

There was a carrying event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The tourist wandered through the plaza.""

There was a carrying event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"
517,an adult discovered an attorney .,an attorney was discovered by an adult .,the author carries the bishop .,the bishop is carried by the author .,The kettle whistled in the kitchen .,involving_event,did_to,mary_answered,patient_first,"There was a discovering event involving an adult and an attorney.
The one it happened to was an attorney.
The one who did it was an adult.

Bridget asked, ""What happened?""
Mary answered, ""An adult discovered an attorney.""

There was a carrying event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a discovering event involving an adult and an attorney.
The one it happened to was an attorney.
The one who did it was an adult.

Bridget asked, ""What happened?""
Mary answered, ""An attorney was discovered by an adult.""

There was a carrying event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The kettle whistled in the kitchen.""

There was a carrying event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The"
518,the employer judges the father .,the father is judged by the employer .,a bishop carried a boy .,a boy was carried by a bishop .,The garden brightened after rain .,involving_event,did_to,mary_answered,patient_first,"There was a judging event involving the employer and the father.
The one it happened to was the father.
The one who did it was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The employer judges the father.""

There was a carrying event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a judging event involving the employer and the father.
The one it happened to was the father.
The one who did it was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The father is judged by the employer.""

There was a carrying event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The garden brightened after rain.""

There was a carrying event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"
519,the lawyer comforted the leader .,the leader was comforted by the lawyer .,a boy carries a brother .,a brother is carried by a boy .,The jacket hung behind the chair .,involving_event,did_to,mary_answered,patient_first,"There was a comforting event involving the lawyer and the leader.
The one it happened to was the leader.
The one who did it was the lawyer.

Bridget asked, ""What happened?""
Mary answered, ""The lawyer comforted the leader.""

There was a carrying event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a comforting event involving the lawyer and the leader.
The one it happened to was the leader.
The one who did it was the lawyer.

Bridget asked, ""What happened?""
Mary answered, ""The leader was comforted by the lawyer.""

There was a carrying event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The jacket hung behind the chair.""

There was a carrying event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The"
520,a captain raises a champion .,a champion is raised by a captain .,the brother carried the buddy .,the buddy was carried by the brother .,The radio crackled in the attic .,involving_event,did_to,mary_answered,agent_first,"There was a raising event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""A captain raises a champion.""

There was a carrying event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a raising event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""A champion is raised by a captain.""

There was a carrying event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The radio crackled in the attic.""

There was a carrying event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"
521,a man forgot a manager .,a manager was forgotten by a man .,the buddy carries the candidate .,the candidate is carried by the buddy .,The witness paused near the doorway .,involving_event,did_to,mary_answered,agent_first,"There was a forgetting event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""A man forgot a manager.""

There was a carrying event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgetting event involving a man and a manager.
The one who did it was a man.
The one it happened to was a manager.

Bridget asked, ""What happened?""
Mary answered, ""A manager was forgotten by a man.""

There was a carrying event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The witness paused near the doorway.""

There was a carrying event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"
522,the teacher judges the uncle .,the uncle is judged by the teacher .,a candidate carried a captain .,a captain was carried by a candidate .,The package arrived before noon .,involving_event,did_to,mary_answered,agent_first,"There was a judging event involving the teacher and the uncle.
The one who did it was the teacher.
The one it happened to was the uncle.

Bridget asked, ""What happened?""
Mary answered, ""The teacher judges the uncle.""

There was a carrying event involving a candidate and a captain.
The one who did it was a candidate.
The one it happened to was a captain.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a judging event involving the teacher and the uncle.
The one who did it was the teacher.
The one it happened to was the uncle.

Bridget asked, ""What happened?""
Mary answered, ""The uncle is judged by the teacher.""

There was a carrying event involving a candidate and a captain.
The one who did it was a candidate.
The one it happened to was a captain.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a candidate and a captain.
The one who did it was a candidate.
The one it happened to was a captain.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The package arrived before noon.""

There was a carrying event involving a candidate and a captain.
The one who did it was a candidate.
The one it happened to was a captain.

Bridget asked, ""What happened?""
Mary answered, ""The"
523,the employee judged the employer .,the employer was judged by the employee .,a captain carries a champion .,a champion is carried by a captain .,The sculpture stood in the hallway .,involving_event,did_to,mary_answered,agent_first,"There was a judging event involving the employee and the employer.
The one who did it was the employee.
The one it happened to was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The employee judged the employer.""

There was a carrying event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a judging event involving the employee and the employer.
The one who did it was the employee.
The one it happened to was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The employer was judged by the employee.""

There was a carrying event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The sculpture stood in the hallway.""

There was a carrying event involving a captain and a champion.
The one who did it was a captain.
The one it happened to was a champion.

Bridget asked, ""What happened?""
Mary answered, ""The"
524,a friend teaches a girl .,a girl is taught by a friend .,the champion carried the chief .,the chief was carried by the champion .,The captain waited beside the harbor .,involving_event,did_to,mary_answered,patient_first,"There was a teaching event involving a friend and a girl.
The one it happened to was a girl.
The one who did it was a friend.

Bridget asked, ""What happened?""
Mary answered, ""A friend teaches a girl.""

There was a carrying event involving the champion and the chief.
The one it happened to was the chief.
The one who did it was the champion.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a teaching event involving a friend and a girl.
The one it happened to was a girl.
The one who did it was a friend.

Bridget asked, ""What happened?""
Mary answered, ""A girl is taught by a friend.""

There was a carrying event involving the champion and the chief.
The one it happened to was the chief.
The one who did it was the champion.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the champion and the chief.
The one it happened to was the chief.
The one who did it was the champion.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The captain waited beside the harbor.""

There was a carrying event involving the champion and the chief.
The one it happened to was the chief.
The one who did it was the champion.

Bridget asked, ""What happened?""
Mary answered, ""The"
525,a scientist hurt a secretary .,a secretary was hurt by a scientist .,the chief carries the child .,the child is carried by the chief .,The teacher listened during assembly .,involving_event,did_to,mary_answered,patient_first,"There was a hurting event involving a scientist and a secretary.
The one it happened to was a secretary.
The one who did it was a scientist.

Bridget asked, ""What happened?""
Mary answered, ""A scientist hurt a secretary.""

There was a carrying event involving the chief and the child.
The one it happened to was the child.
The one who did it was the chief.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a hurting event involving a scientist and a secretary.
The one it happened to was a secretary.
The one who did it was a scientist.

Bridget asked, ""What happened?""
Mary answered, ""A secretary was hurt by a scientist.""

There was a carrying event involving the chief and the child.
The one it happened to was the child.
The one who did it was the chief.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the chief and the child.
The one it happened to was the child.
The one who did it was the chief.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The teacher listened during assembly.""

There was a carrying event involving the chief and the child.
The one it happened to was the child.
The one who did it was the chief.

Bridget asked, ""What happened?""
Mary answered, ""The"
526,the woman discovers the worker .,the worker is discovered by the woman .,a child carried a colonel .,a colonel was carried by a child .,The violin echoed in the theater .,involving_event,did_to,mary_answered,patient_first,"There was a discovering event involving the woman and the worker.
The one it happened to was the worker.
The one who did it was the woman.

Bridget asked, ""What happened?""
Mary answered, ""The woman discovers the worker.""

There was a carrying event involving a child and a colonel.
The one it happened to was a colonel.
The one who did it was a child.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a discovering event involving the woman and the worker.
The one it happened to was the worker.
The one who did it was the woman.

Bridget asked, ""What happened?""
Mary answered, ""The worker is discovered by the woman.""

There was a carrying event involving a child and a colonel.
The one it happened to was a colonel.
The one who did it was a child.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a child and a colonel.
The one it happened to was a colonel.
The one who did it was a child.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The violin echoed in the theater.""

There was a carrying event involving a child and a colonel.
The one it happened to was a colonel.
The one who did it was a child.

Bridget asked, ""What happened?""
Mary answered, ""The"
527,the professor protected the reader .,the reader was protected by the professor .,a colonel carries a cop .,a cop is carried by a colonel .,The pillow rested on the sofa .,involving_event,did_to,mary_answered,patient_first,"There was a protecting event involving the professor and the reader.
The one it happened to was the reader.
The one who did it was the professor.

Bridget asked, ""What happened?""
Mary answered, ""The professor protected the reader.""

There was a carrying event involving a colonel and a cop.
The one it happened to was a cop.
The one who did it was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a protecting event involving the professor and the reader.
The one it happened to was the reader.
The one who did it was the professor.

Bridget asked, ""What happened?""
Mary answered, ""The reader was protected by the professor.""

There was a carrying event involving a colonel and a cop.
The one it happened to was a cop.
The one who did it was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a colonel and a cop.
The one it happened to was a cop.
The one who did it was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The pillow rested on the sofa.""

There was a carrying event involving a colonel and a cop.
The one it happened to was a cop.
The one who did it was a colonel.

Bridget asked, ""What happened?""
Mary answered, ""The"
528,a hero forgets a husband .,a husband is forgotten by a hero .,the cop carried the cousin .,the cousin was carried by the cop .,The lantern glowed near sunset .,involving_event,did_to,mary_answered,agent_first,"There was a forgetting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""A hero forgets a husband.""

There was a carrying event involving the cop and the cousin.
The one who did it was the cop.
The one it happened to was the cousin.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgetting event involving a hero and a husband.
The one who did it was a hero.
The one it happened to was a husband.

Bridget asked, ""What happened?""
Mary answered, ""A husband is forgotten by a hero.""

There was a carrying event involving the cop and the cousin.
The one who did it was the cop.
The one it happened to was the cousin.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the cop and the cousin.
The one who did it was the cop.
The one it happened to was the cousin.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

There was a carrying event involving the cop and the cousin.
The one who did it was the cop.
The one it happened to was the cousin.

Bridget asked, ""What happened?""
Mary answered, ""The"
529,a guy chased a hero .,a hero was chased by a guy .,the cousin carries the daughter .,the daughter is carried by the cousin .,The traveler rested beside the river .,involving_event,did_to,mary_answered,agent_first,"There was a chasing event involving a guy and a hero.
The one who did it was a guy.
The one it happened to was a hero.

Bridget asked, ""What happened?""
Mary answered, ""A guy chased a hero.""

There was a carrying event involving the cousin and the daughter.
The one who did it was the cousin.
The one it happened to was the daughter.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a chasing event involving a guy and a hero.
The one who did it was a guy.
The one it happened to was a hero.

Bridget asked, ""What happened?""
Mary answered, ""A hero was chased by a guy.""

There was a carrying event involving the cousin and the daughter.
The one who did it was the cousin.
The one it happened to was the daughter.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the cousin and the daughter.
The one who did it was the cousin.
The one it happened to was the daughter.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The traveler rested beside the river.""

There was a carrying event involving the cousin and the daughter.
The one who did it was the cousin.
The one it happened to was the daughter.

Bridget asked, ""What happened?""
Mary answered, ""The"
530,the woman catches the worker .,the worker is caught by the woman .,a daughter carried a doctor .,a doctor was carried by a daughter .,The notebook stayed on the shelf .,involving_event,did_to,mary_answered,agent_first,"There was a catching event involving the woman and the worker.
The one who did it was the woman.
The one it happened to was the worker.

Bridget asked, ""What happened?""
Mary answered, ""The woman catches the worker.""

There was a carrying event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a catching event involving the woman and the worker.
The one who did it was the woman.
The one it happened to was the worker.

Bridget asked, ""What happened?""
Mary answered, ""The worker is caught by the woman.""

There was a carrying event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was a carrying event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""The"
531,the husband discovered the kid .,the kid was discovered by the husband .,a doctor carries an employee .,an employee is carried by a doctor .,The window rattled during the storm .,involving_event,did_to,mary_answered,agent_first,"There was a discovering event involving the husband and the kid.
The one who did it was the husband.
The one it happened to was the kid.

Bridget asked, ""What happened?""
Mary answered, ""The husband discovered the kid.""

There was a carrying event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a discovering event involving the husband and the kid.
The one who did it was the husband.
The one it happened to was the kid.

Bridget asked, ""What happened?""
Mary answered, ""The kid was discovered by the husband.""

There was a carrying event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The window rattled during the storm.""

There was a carrying event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""The"
532,a nurse kills a parent .,a parent is killed by a nurse .,the employee carried the employer .,the employer was carried by the employee .,The singer smiled after rehearsal .,involving_event,did_to,mary_answered,patient_first,"There was a killing event involving a nurse and a parent.
The one it happened to was a parent.
The one who did it was a nurse.

Bridget asked, ""What happened?""
Mary answered, ""A nurse kills a parent.""

There was a carrying event involving the employee and the employer.
The one it happened to was the employer.
The one who did it was the employee.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a killing event involving a nurse and a parent.
The one it happened to was a parent.
The one who did it was a nurse.

Bridget asked, ""What happened?""
Mary answered, ""A parent is killed by a nurse.""

There was a carrying event involving the employee and the employer.
The one it happened to was the employer.
The one who did it was the employee.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the employee and the employer.
The one it happened to was the employer.
The one who did it was the employee.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was a carrying event involving the employee and the employer.
The one it happened to was the employer.
The one who did it was the employee.

Bridget asked, ""What happened?""
Mary answered, ""The"
533,a physician hurried a pilot .,a pilot was hurried by a physician .,the employer carries the father .,the father is carried by the employer .,The painter waited near the doorway .,involving_event,did_to,mary_answered,patient_first,"There was a hurrying event involving a physician and a pilot.
The one it happened to was a pilot.
The one who did it was a physician.

Bridget asked, ""What happened?""
Mary answered, ""A physician hurried a pilot.""

There was a carrying event involving the employer and the father.
The one it happened to was the father.
The one who did it was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a hurrying event involving a physician and a pilot.
The one it happened to was a pilot.
The one who did it was a physician.

Bridget asked, ""What happened?""
Mary answered, ""A pilot was hurried by a physician.""

There was a carrying event involving the employer and the father.
The one it happened to was the father.
The one who did it was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving the employer and the father.
The one it happened to was the father.
The one who did it was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The painter waited near the doorway.""

There was a carrying event involving the employer and the father.
The one it happened to was the father.
The one who did it was the employer.

Bridget asked, ""What happened?""
Mary answered, ""The"
534,the reader asks the scientist .,the scientist is asked by the reader .,a father carried a friend .,a friend was carried by a father .,The engine cooled before dawn .,involving_event,did_to,mary_answered,patient_first,"There was an asking event involving the reader and the scientist.
The one it happened to was the scientist.
The one who did it was the reader.

Bridget asked, ""What happened?""
Mary answered, ""The reader asks the scientist.""

There was a carrying event involving a father and a friend.
The one it happened to was a friend.
The one who did it was a father.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the reader and the scientist.
The one it happened to was the scientist.
The one who did it was the reader.

Bridget asked, ""What happened?""
Mary answered, ""The scientist is asked by the reader.""

There was a carrying event involving a father and a friend.
The one it happened to was a friend.
The one who did it was a father.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a carrying event involving a father and a friend.
The one it happened to was a friend.
The one who did it was a father.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The engine cooled before dawn.""

There was a carrying event involving a father and a friend.
The one it happened to was a friend.
The one who did it was a father.

Bridget asked, ""What happened?""
Mary answered, ""The"
